geo,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
afg,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2817.99602,2157.11182,1979.53035,2050.86644,
ago,Angola,,,,,,,,,,,,,7174.93405,7226.26432,8137.05686,9725.73606,10997.14825,11032.44493,11160.52047,9316.85188,10660.14412,11621.37713,11759.98271,11464.53384,10360.99428,8646.2527,8415.05033,8571.76718,9031.09718,8010.61913,7208.02143,8254.76805,8402.74526,7788.90392,8055.14931
alb,Albania,,,,,,4976.22676,5368.61899,4725.29936,5214.42197,6072.35294,6641.98874,7346.56681,7613.54902,8085.67768,8641.1498,9004.9248,9690.08563,10474.72146,11168.33947,11364.51279,11675.28442,11936.70467,12157.32479,12837.96174,13322.85964,13960.94013,14843.59171,15463.06723,16258.02535,16657.39088,16164.47574,17960.38122,19436.00506,20937.30561,22397.49538
and,Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63827.87998,,,
are,UAE,,,,,,,,,,,,96813.76763,90382.16999,91789.72979,96615.71622,103611.81501,112783.31265,107303.10495,104274.87275,81442.02112,75573.99847,86006.30922,87539.46916,87939.75421,87083.17648,76232.21898,74467.40941,74458.62454,76713.54969,76289.8851,61227.66292,68460.79538,81656.4242,84671.32668,
arg,Argentina,14642.26775,16248.1678,18074.70067,19529.41251,20460.07416,19129.15096,20152.27816,21719.57721,22105.56071,20771.98777,20469.06631,18984.68238,16807.33275,18171.83199,18083.72574,19249.67178,22637.93708,24795.70811,26093.9362,23967.32838,26389.59427,28577.65838,28129.15783,28444.33168,27224.4198,27720.5597,26942.15974,27772.32916,26440.5139,25128.24701,22767.22613,25772.61839,27489.28068,26934.28059,25824.30817
arm,Armenia,,,,,4019.36328,3982.92891,4290.76002,4688.83321,4873.03302,5090.35961,5342.73694,5928.76595,6783.00826,7839.90068,8669.64511,9990.12835,11424.59118,13114.57353,14041.95989,11494.06832,12262.2229,12143.65288,12745.74341,13115.9782,13237.05324,13376.47967,13132.34278,14340.01086,14947.88221,15929.51642,14732.49174,15464.00867,17431.66207,18575.10168,18666.14421
atg,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24824.88724,,,
aus,Australia,31095.96676,30292.79724,30129.07537,31003.19033,31777.67999,32639.87105,33662.69106,34875.30326,36183.5432,37251.74501,38659.49099,39109.34219,40355.48599,41206.42436,43055.80348,44196.08,45598.12365,46849.67581,48309.40699,49245.2123,48947.13067,51317.30068,53008.73151,52665.02672,52756.72099,52222.74855,51560.08573,53145.51683,53836.63233,54774.45912,54720.7412,57556.8374,59134.28869,59439.47153,58610.67071
aut,Austria,,,,,,48500.27302,49467.12384,50234.53037,51812.01165,52973.24424,54714.76166,54895.8066,56038.2919,56523.22934,57660.27926,58358.56796,60247.83241,61987.5605,62912.31883,60335.35853,61231.70705,61903.88754,61621.70421,61209.27129,61271.70128,61094.89497,62567.76394,62530.57735,63521.41143,64512.51524,61260.52631,64007.54334,64044.95542,63324.73558,62384.58435
aze,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19693.90635,,,
bdi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1037.98503,,,
bel,Belgium,,,,,,47742.5169,48092.9424,49754.73073,50736.97936,52040.50651,53384.6643,53426.96669,54174.28063,54401.61565,55503.70778,56156.70994,57018.9869,58732.00412,57914.79446,57249.61598,57289.00131,56237.28394,57167.51164,57255.09156,57880.02003,58549.55164,59063.81002,59510.09525,60037.51489,61431.34373,58452.17855,61448.52466,61031.64737,62624.98078,62970.63536
ben,Benin,2077.92846,2111.51046,2058.35163,2104.21685,2036.52595,2121.79851,2231.76079,2296.8821,2307.42578,2313.42397,2415.39707,2453.65114,2514.95045,2538.74591,2614.01851,2533.55567,2546.91217,2599.69563,2664.17251,2663.23121,2639.69459,2667.00115,2711.01725,2850.63977,2927.7421,2917.28258,2966.63212,3018.50122,3116.90553,3277.08802,3287.45815,3427.21138,3529.45354,3633.38607,3818.41851
bfa,Burkina Faso,1108.91634,1165.58865,1138.72105,1139.89481,1055.40505,1096.42487,1187.87902,1226.58047,1290.32974,1283.64603,1259.0621,1311.16303,1328.59461,1387.99312,1409.03058,1472.63067,1515.77815,1527.75845,1567.2303,1559.02683,1654.85592,1741.85009,1859.52297,1855.87135,1844.84384,1872.28056,1966.15617,2051.20294,2151.89517,2267.13913,2302.15595,2340.83935,2221.63754,,
bgd,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,5948.76717,6213.06232,6648.23254,7118.43299,7305.57047,7832.73092,8200.66632,8571.36854,8852.24794
bgr,Bulgaria,,,,,,12647.68642,11932.13551,9381.91812,10694.63268,10147.21614,11025.85111,11928.16148,13181.63434,13982.69192,14823.9852,15649.77862,16521.50926,16813.15897,18493.34714,19252.73297,19939.15819,20601.06831,20846.82106,20905.32552,21668.03225,22401.13295,23808.69603,25000.41867,25743.55821,27638.83708,27651.64663,29722.83718,30721.3272,31406.19613,32336.99181
bhr,Bahrain,,,,,,,,,,,52218.44668,50619.61738,43630.58476,45674.56216,44922.35163,48767.69376,51296.58836,54395.98731,57984.34639,47376.96987,51735.6086,56204.36918,60372.16425,63405.12429,60273.7594,53599.80996,52665.52334,53799.31279,55329.54464,56719.09432,50453.66361,51553.0939,60432.21158,62996.9836,63324.05965
